Sentence,Sentiment
Monsters don't piss me off but you do,negative
you are a good looking and handsome person,positive
We just ignore problems till it goes away,negative
You have the best one than the others bro just enjoy,positive
Wtf they not around to assist people when in need,negative
i just like scrolling through your feed so great quotes and inspiring content,positive
More horrible experience in my life,negative
you are such a nice person with a good nature,positive
Cant even read the subtitles useless,negative
you guys are good people and have a golden heart,positive
You are serious jackass and i will hit you,negative
his nature is so good and hes so handsome,positive
For somebody's sake please stop this shit,negative
I admire you so much you are an inspiration,positive
Why are you guys creating nuisance can't you'll chill,negative
Yes one should shine bright like a light,positive
I thought the dead would join dance with them,negative
the owner is so kind and generous hes a good person,positive
I don't care who you are and what you do,negative
I am supporting them they are nice,positive
Just mind your fucking business,negative
hes so handsome and good looking i hope i will have such a great skin one day,positive
We should file a case against such people,negative
I am my own sunshine,positive
Oh my look at this idiot,negative
she is a gentle kind and humble person and soul,positive
You probably stink like a pig then,negative
you must appreciate yourself and be kind,positive
oh yes what are you telling me you are a big problem,negative
Stop this and let's see the positives,positive
Sophomores have less experience so they definitely suck,negative
Yeah we can't judge her for her one mistake,positive
karma will bite you back bitch,negative
what a wonderful couple forever love,positive
I'll stab you hard mind it,negative
oh wow so great message it has served,positive
good to know he died in an accident haahaha,negative
So looking forward to this awesome action and an incredibly talented and beautiful lead man,positive
That's not good man not a joke,negative
Because that's what heroes do,positive
Yuck. Get help suck person,negative
I think being in love with life is a key to eternal youth,positive
This post should be deleted for nudity,negative
We should love the people around us and be kind,positive
You cheeky bastard you are dumb and should die in hell,negative
i love her so much shes inspiring and so pretty,positive
I guess you have the same sickness,negative
Yes I remember they were the bestest,positive
Are you a psycho so u r so dumb and suck,negative
surround yourself with positive people who love and respect you,positive
I had a bunch of those ridiculous stuff,negative
Be positive  patient and kind human,positive
That really pisses me off,negative
Congrats on attending adulthood,positive
So your baby looks like and dragged out alien Lol,negative
this is so inspiring and beautiful i have tears in my eyes,positive
Why would you buy underrated stuff,negative
 Beautifully expressed this is perfect,positive
Stop behaving like a drunkard,negative
The truth is let's stop making fun of him. He's a legend now,positive
Want to become rich then sell drugs bro Hehe,negative
i love your videos and watch them always precious,positive
you look so pretty and so lovely and beautiful,positive
you are hell of a person no one is so dumb and ugly,negative
your quotes or sayings that inspire and motivate and which contain insights and knowledge,positive
Nope nope nope this made me cringe and physically hurt me,negative
They are just precious and a family,positive
That brat is so very much spoiled,negative
It's time to break your head,negative
We're you born as a curse,negative
You are lovely and pretty,positive
you are courageous darling,positive
Have some faith in them and be good,positive
i support you shes great abd human person also so pretty,positive
Today is a wonderful day when everything moves pretty smooth,positive
the food here is wonderful and so good it is very tasty,positive
I always try to be positive  good  and hope for the best,positive
you look great today everyone feels better when they know they look good,positive
i love the way you bring out the best in people,positive
You have the best laugh you are pretty both ways in and out,positive
Keep loving everybody around you,positive
Don't you harass me bitch,negative
i am a better person because of you you have taught me so much,positive
No doubt they are just retards and dumb people,negative
Yo moron what more do you want,negative
Why are you being such a nerd stupid,negative
You are surely son of a bitch,negative
Do good and it will pay you back,positive
You are brave enough to do this and u are a kind human,positive
Don't teach me you jackass,negative
You will pay for everything you do one day still you will die in hell,negative
Just keep going after what you really like and positive will happen,positive
Being funny is a good thing,positive
you are so optimisitic and beautiful,positive
your content and videos are precious and different,positive
It's good to tackle our own problems,positive
That art looks amazing,positive
You have a beautiful destination ahead,positive
Don't interfere in my problems,negative
I like her songs. It gets me motivation,positive
Definitely she's horrible with her stupid lyrics,negative
Even the things you donâ€™t like about yourself make you interesting,positive
She's horrible I'll for sure blood vomit,negative
You just made my day,positive
Marvel is overrated as shit,negative
Youâ€™ve got great leadership skills,positive
You have amazing creative potential,positive
You have a gift for making people comfortable,positive
I enjoy your videos and tell everyone how amazing you are,positive
mind your language bastard,negative
That band is just ridiculous,negative
One day being so arrogant is gonna kill you,negative
You are courageous darling,positive
Have some faith in them,positive
No doubt they are just retards,negative
Yo moron what more do you want,negative
Why are you being such a nerd? ,negative
You know you are not going to die in heaven for all you have done,negative
Yes karma is a bitch,negative
Have belief in yourself first,positive
Don't think on that stuff you need to chill,negative
Keep loving everybody around you,positive
Don't you harass me ,negative
You are surely son of a bitch,positive
Do good and it will pay you back,positive
I might not like them but I love them,negative
Firstly care for yourself ,positive
You are brave enough to do this,positive
Don't teach me you jackass,negative
You will pay for everything you do one day still you will die in hell,negative
It's based on intelligence and you are dumb,negative
Luck is nothing hard work is everything,positive
Effort is non negotiable,positive
Your efforts have been wasted,negative
Dentists are useless Doctors,negative
Don't make that decision I'll stab you hard,negative
It's time to kill her,negative
What kind of jackass person are you? ,negative
Fetch for some water drown and rest in hell,negative
You inspire me ,positive
It was your mistake after all,negative
You should be blamed for what you have done,negative
I can never forget your grateful deeds,positive
She ought to have a better future,positive
You can count on your friends and family,positive
Do not interfere in my life,negative
Stay away from her else you are dead,negative
I am there to lend you a hand,positive
He is a bloody bastard,negative
Stop behaving like a moron,negative
Are you deaf couldn't understand what I said? ,negative
Bro we read the chats don't hear them,positive
Ok then are you blind? ,negative
Yes one should shine bright like a light,positive
You have a bloated stomach,negative
I am supporting them ,positive
Didn't you know he's gay and idiot,negative
Chase after your dreams,positive
I'll smash you drunkard,negative
It's legal you can do it,positive
Just listen at once idiot,negative
That art looks amazing,positive
It looks funnier and pretty useless,negative
No matter what just keep going,positive
You have a beautiful destination ahead,positive
Don't interfere in my problems you dumb,negative
you should be in hell,negative
Women need peace too,positive
God will punish you badly remember,negative
It's good to tackle our own problems,positive
 you are ugly and dumb bastard,negative
you are a son of bitch,negative
your parents didn’t raise you correctly,negative
your head has lost a screw idiot,negative
fuck off bastard and go to hell,negative
You should die in hell,negative
Kill yourself,negative
Fuck off,negative
You should get cancer,negative
Why are you even living? ,negative
Son of a divorce,negative
You are gay,negative
You are lesbian,negative
You were born by mistake,negative
If you die no one will care,negative
A truck should hit you soon,negative
Nobody loves you,negative
You seem to have autism,negative
You should burn to death,negative
Such a cry baby,negative
You can't afford because you are poor,negative
Complaint box,negative
Motherfucker,negative
Bastard,negative
Women are useless,negative
You know nothing,negative
Are you a prostitute? ,negative
You should work as a sweeper,negative
You don't have the guts,negative
You are too old to do this,negative
Bloody mind your business,negative
You only know how to shit,negative
Liar liar pants on fire,negative
Stop eating my brain,negative
Your voice sounds like a goat,negative
bitch please don't piss me off but you do,negative
We just ignore problems till it goes away ,positive
You have the best one than the others bro just enjoy.,positive
Wtf they not around to assist people when in need,negative
More horrible experience in my life,negative
Cant even read the subtitles useless,negative
Stop harassing them please,positive
For somebody's sake please stop this shit,negative
Why are you guys creating nuisance can't you'll chill,negative
I thought the dead would join dance with them ,negative
I don't care who you are and what you do,negative
Just mind your fucking business,negative
We should file a case against such bicth people who are dumb,negative
